date,block,slow,medium,fast
"2022-03-21 00:00:05.513871","14428244","15","15","15"
"2022-03-21 00:02:05.164174","14428253","18","19","21"
"2022-03-21 00:04:04.025174","14428261","19","20","20"
"2022-03-21 00:06:03.906058","14428274","16","16","16"
"2022-03-21 00:08:03.638771","14428285","15","15","17"
"2022-03-21 00:10:04.753499","14428292","16","17","17"
"2022-03-21 00:12:05.180887","14428300","17","17","18"
"2022-03-21 00:14:03.993821","14428307","19","19","20"
"2022-03-21 00:16:03.659118","14428317","12","12","13"
"2022-03-21 00:18:03.921183","14428325","16","17","17"
"2022-03-21 00:20:03.942479","14428337","14","14","14"
"2022-03-21 00:22:05.744890","14428343","15","15","16"
"2022-03-21 00:24:04.551925","14428353","17","18","18"
"2022-03-21 00:26:04.329070","14428357","19","19","20"
"2022-03-21 00:28:04.135315","14428369","17","18","19"
"2022-03-21 00:30:04.242192","14428378","15","16","17"
"2022-03-21 00:32:04.299271","14428387","14","15","15"
"2022-03-21 00:34:04.107822","14428391","16","18","19"
"2022-03-21 00:36:07.799898","14428400","17","18","18"
"2022-03-21 00:38:03.595609","14428408","17","18","19"
"2022-03-21 00:40:05.396285","14428415","18","19","19"
"2022-03-21 00:42:04.328775","14428425","20","21","22"
"2022-03-21 00:44:04.098645","14428433","20","20","21"
"2022-03-21 00:46:03.787656","14428440","20","20","21"
"2022-03-21 00:48:03.551859","14428448","20","20","21"
"2022-03-21 00:50:04.892383","14428456","17","17","17"
"2022-03-21 00:52:04.070705","14428464","20","21","23"
"2022-03-21 00:54:04.066683","14428475","17","17","17"
"2022-03-21 00:56:04.761135","14428490","15","15","15"
"2022-03-21 00:58:03.538156","14428500","15","16","17"
"2022-03-21 01:00:04.840045","14428516","14","15","16"
"2022-03-21 01:02:04.118962","14428525","14","15","15"
"2022-03-21 01:04:04.182076","14428532","15","15","15"
"2022-03-21 01:06:05.683048","14428539","17","17","18"
"2022-03-21 01:08:05.691183","14428548","17","18","18"
"2022-03-21 01:10:05.949500","14428558","17","17","18"
"2022-03-21 01:12:03.878251","14428568","17","18","18"
"2022-03-21 01:14:03.864482","14428577","18","18","20"
"2022-03-21 01:16:04.207337","14428582","16","17","17"
"2022-03-21 01:18:04.381497","14428596","14","15","15"
"2022-03-21 01:20:04.574512","14428608","14","15","16"
"2022-03-21 01:22:04.301482","14428612","16","17","19"
"2022-03-21 01:24:04.062191","14428623","13","14","14"
"2022-03-21 01:26:04.492156","14428630","18","18","20"
"2022-03-21 01:28:14.671318","14428640","18","18","19"
"2022-03-21 01:31:37.409029","14428646","21","22","23"
"2022-03-21 01:33:14.128163","14428651","23","24","24"
"2022-03-21 01:34:04.195077","14428655","23","23","24"
"2022-03-21 01:36:04.422207","14428663","20","20","22"
"2022-03-21 01:38:04.194488","14428675","16","16","16"
"2022-03-21 01:40:03.856764","14428683","16","16","17"
"2022-03-21 01:42:04.105199","14428697","14","14","14"
"2022-03-21 01:44:03.848747","14428710","13","14","14"
"2022-03-21 01:46:04.483917","14428716","17","17","19"
"2022-03-21 01:48:04.947560","14428727","18","18","19"
"2022-03-21 01:50:04.426448","14428739","15","16","16"
"2022-03-21 01:52:04.168841","14428747","18","19","20"
"2022-03-21 01:54:04.500439","14428749","20","21","23"
"2022-03-21 01:56:04.240101","14428753","27","27","29"
"2022-03-21 01:58:04.203321","14428759","28","28","30"
"2022-03-21 02:00:06.788827","14428773","17","17","18"
"2022-03-21 02:02:03.639643","14428782","15","16","16"
"2022-03-21 02:04:04.404513","14428793","18","19","20"
"2022-03-21 02:06:06.042039","14428799","25","26","30"
"2022-03-21 02:08:03.787917","14428808","30","31","32"
"2022-03-21 02:10:03.994025","14428816","25","26","26"
"2022-03-21 02:12:04.192847","14428820","31","32","33"
"2022-03-21 02:14:04.084368","14428828","30","31","33"
"2022-03-21 02:16:03.880553","14428833","29","29","30"
"2022-03-21 02:18:03.898036","14428844","25","25","26"
"2022-03-21 02:20:03.835041","14428853","22","22","22"
"2022-03-21 02:22:04.030962","14428859","22","22","22"
"2022-03-21 02:24:03.782971","14428866","24","24","26"
"2022-03-21 02:26:03.676115","14428875","24","25","27"
"2022-03-21 02:28:04.839213","14428886","19","19","20"
"2022-03-21 02:30:06.525468","14428900","15","16","18"
"2022-03-21 02:32:04.294782","14428907","18","18","18"
"2022-03-21 02:34:04.055911","14428917","19","19","20"
"2022-03-21 02:36:04.118773","14428927","14","15","16"
"2022-03-21 02:38:03.880488","14428941","14","16","17"
"2022-03-21 02:40:03.871084","14428948","19","20","22"
"2022-03-21 02:42:06.145511","14428954","23","25","27"
"2022-03-21 02:44:04.132500","14428961","19","20","20"
"2022-03-21 02:46:04.247990","14428969","18","19","20"
"2022-03-21 02:48:05.350388","14428977","19","19","20"
"2022-03-21 02:50:06.677702","14428985","20","21","21"
"2022-03-21 02:52:04.431455","14428989","18","19","20"
"2022-03-21 02:54:04.159250","14428999","18","19","20"
"2022-03-21 02:56:04.088347","14429009","19","19","21"
"2022-03-21 02:58:04.109673","14429017","20","20","22"
"2022-03-21 03:00:04.243108","14429027","18","18","21"
"2022-03-21 03:02:04.441321","14429034","32","34","35"
"2022-03-21 03:04:04.162438","14429044","46","47","47"
"2022-03-21 03:06:04.898714","14429054","39","39","40"
"2022-03-21 03:08:03.686082","14429068","24","25","25"
"2022-03-21 03:10:04.702350","14429075","30","31","31"
"2022-03-21 03:12:04.650181","14429084","28","28","28"
"2022-03-21 03:14:04.419397","14429087","30","30","32"
"2022-03-21 03:16:04.381822","14429093","37","37","39"
"2022-03-21 03:18:04.464713","14429105","25","26","26"
"2022-03-21 03:20:04.376000","14429109","29","30","31"
"2022-03-21 03:22:03.759762","14429117","27","28","28"
"2022-03-21 03:24:04.506314","14429127","26","27","27"
"2022-03-21 03:26:04.257341","14429137","27","29","29"
"2022-03-21 03:28:04.023379","14429148","21","23","23"
"2022-03-21 03:30:08.700283","14429152","24","25","27"
"2022-03-21 03:32:04.613823","14429163","18","20","20"
"2022-03-21 03:34:05.454179","14429171","22","23","25"
"2022-03-21 03:36:04.489983","14429177","25","26","28"
"2022-03-21 03:38:04.280512","14429184","23","24","25"
"2022-03-21 03:40:09.962952","14429192","24","25","25"
"2022-03-21 03:42:03.753662","14429205","19","20","21"
"2022-03-21 03:44:04.535324","14429213","19","20","21"
"2022-03-21 03:46:04.039652","14429223","18","19","21"
"2022-03-21 03:48:03.758304","14429229","21","22","23"
"2022-03-21 03:50:07.352492","14429239","19","19","19"
"2022-03-21 03:52:04.152937","14429245","17","18","19"
"2022-03-21 03:54:04.121153","14429260","17","17","18"
"2022-03-21 03:56:04.100779","14429266","19","19","20"
"2022-03-21 03:58:03.835153","14429270","23","23","24"
"2022-03-21 04:00:03.887217","14429279","23","23","23"
"2022-03-21 04:02:04.060486","14429290","16","16","16"
"2022-03-21 04:04:03.905873","14429300","19","20","22"
"2022-03-21 04:06:03.599523","14429313","14","15","15"
"2022-03-21 04:08:04.539815","14429323","19","19","19"
"2022-03-21 04:10:04.535802","14429333","19","19","21"
"2022-03-21 04:12:04.227082","14429341","17","18","18"
"2022-03-21 04:14:04.025153","14429350","18","19","20"
"2022-03-21 04:16:03.906007","14429357","22","22","23"
"2022-03-21 04:18:04.896311","14429367","19","19","21"
"2022-03-21 04:20:03.890757","14429379","16","16","17"
"2022-03-21 04:22:04.011412","14429388","19","20","21"
"2022-03-21 04:24:03.762808","14429394","19","19","21"
"2022-03-21 04:26:04.480962","14429399","24","24","26"
"2022-03-21 04:28:04.173033","14429405","32","33","35"
"2022-03-21 04:30:04.198095","14429412","30","31","32"
"2022-03-21 04:32:04.482766","14429424","20","20","21"
"2022-03-21 04:34:04.213464","14429433","22","22","23"
"2022-03-21 04:36:04.960316","14429439","24","24","24"
"2022-03-21 04:38:04.752913","14429455","19","19","21"
"2022-03-21 04:40:03.913339","14429461","22","23","23"
"2022-03-21 04:42:03.801839","14429472","18","19","20"
"2022-03-21 04:44:03.554373","14429482","15","16","17"
"2022-03-21 04:46:05.375803","14429495","13","13","13"
"2022-03-21 04:48:04.157929","14429504","14","15","15"
"2022-03-21 04:50:07.171431","14429519","13","13","14"
"2022-03-21 04:52:03.987069","14429531","14","14","16"
"2022-03-21 04:54:04.111437","14429535","17","17","19"
"2022-03-21 04:56:03.849011","14429546","15","15","15"
"2022-03-21 04:58:03.561318","14429554","17","18","20"
"2022-03-21 05:00:05.479850","14429559","22","23","24"
"2022-03-21 05:02:04.319951","14429570","23","23","24"
"2022-03-21 05:04:04.124961","14429581","19","19","20"
"2022-03-21 05:06:03.979462","14429598","13","13","13"
"2022-03-21 05:08:03.719110","14429606","19","20","20"
"2022-03-21 05:10:05.729497","14429615","23","23","25"
"2022-03-21 05:12:04.615918","14429629","17","18","18"
"2022-03-21 05:14:05.394754","14429633","18","19","19"
"2022-03-21 05:16:04.365414","14429652","13","14","14"
"2022-03-21 05:18:04.363369","14429661","13","14","14"
"2022-03-21 05:20:05.285442","14429669","21","21","22"
"2022-03-21 05:22:04.095372","14429673","18","18","19"
"2022-03-21 05:24:03.824205","14429688","21","21","21"
"2022-03-21 05:26:03.574927","14429695","19","20","21"
"2022-03-21 05:28:04.332166","14429700","23","23","24"
"2022-03-21 05:30:11.934868","14429716","18","19","19"
"2022-03-21 05:32:03.753918","14429723","19","19","19"
"2022-03-21 05:34:04.553995","14429734","17","18","18"
"2022-03-21 05:36:17.557822","14429743","21","21","23"
"2022-03-21 05:38:04.391275","14429752","25","26","26"
"2022-03-21 05:40:04.639092","14429757","22","22","23"
"2022-03-21 05:42:04.769650","14429762","31","31","32"
"2022-03-21 05:44:04.497371","14429771","32","33","33"
"2022-03-21 05:46:04.502885","14429777","32","32","32"
"2022-03-21 05:48:04.274124","14429790","25","25","25"
"2022-03-21 05:50:04.269414","14429800","22","22","24"
"2022-03-21 05:52:04.336189","14429810","20","20","22"
"2022-03-21 05:54:04.167313","14429819","23","24","25"
"2022-03-21 05:56:04.269239","14429825","29","30","30"
"2022-03-21 05:58:04.000779","14429840","21","21","22"
"2022-03-21 06:00:04.666326","14429847","24","25","27"
"2022-03-21 06:02:04.361551","14429856","27","27","29"
"2022-03-21 06:04:04.200219","14429866","25","25","27"
"2022-03-21 06:06:04.354206","14429876","22","22","22"
"2022-03-21 06:08:04.065001","14429884","27","27","29"
"2022-03-21 06:10:04.225210","14429889","29","29","32"
"2022-03-21 06:12:05.029630","14429901","23","24","24"
"2022-03-21 06:14:03.834016","14429910","21","22","22"
"2022-03-21 06:16:03.866959","14429914","33","33","35"
"2022-03-21 06:18:04.064297","14429922","32","33","35"
"2022-03-21 06:20:03.992570","14429931","28","28","29"
"2022-03-21 06:22:04.358971","14429939","33","33","35"
"2022-03-21 06:24:04.080046","14429940","37","38","40"
"2022-03-21 06:26:04.351047","14429947","41","42","42"
"2022-03-21 06:28:04.201253","14429966","22","22","22"
"2022-03-21 06:30:05.243045","14429971","26","27","29"
"2022-03-21 06:32:04.015116","14429975","30","30","32"
"2022-03-21 06:34:03.725443","14429986","31","32","32"
"2022-03-21 06:36:04.419706","14429991","41","42","43"
"2022-03-21 06:38:04.182115","14430001","33","34","35"
"2022-03-21 06:40:05.525333","14430005","49","49","51"
"2022-03-21 06:42:04.448296","14430018","31","31","31"
"2022-03-21 06:44:04.226183","14430026","32","33","33"
"2022-03-21 06:46:03.940408","14430038","28","28","28"
"2022-03-21 06:48:03.733831","14430048","28","29","29"
"2022-03-21 06:50:04.688774","14430057","29","29","29"
"2022-03-21 06:52:04.108558","14430065","31","31","31"
"2022-03-21 06:54:04.735882","14430075","28","28","31"
"2022-03-21 06:56:03.587743","14430081","36","37","38"
"2022-03-21 06:58:04.320712","14430095","26","26","26"
"2022-03-21 07:00:04.885532","14430104","23","23","24"
"2022-03-21 07:02:03.783853","14430117","26","26","26"
"2022-03-21 07:04:03.708749","14430125","32","33","34"
