date,block,slow,medium,fast
"2021-12-13 00:00:04.109573","13795600","43","44","46"
"2021-12-13 00:02:10.903461","13795607","50","50","56"
"2021-12-13 00:04:03.538899","13795615","50","50","54"
"2021-12-13 00:06:03.845050","13795626","44","44","45"
"2021-12-13 00:08:03.482095","13795634","42","42","43"
"2021-12-13 00:10:04.298295","13795640","48","48","49"
"2021-12-13 00:12:04.514649","13795647","52","52","58"
"2021-12-13 00:14:04.186906","13795652","60","60","63"
"2021-12-13 00:16:03.504018","13795662","46","46","46"
"2021-12-13 00:18:04.548727","13795671","50","51","52"
"2021-12-13 00:20:04.493038","13795681","47","47","47"
"2021-12-13 00:22:04.274199","13795689","50","51","51"
"2021-12-13 00:24:03.845620","13795703","39","40","42"
"2021-12-13 00:26:03.597809","13795714","39","40","40"
"2021-12-13 00:28:04.191153","13795722","46","46","48"
"2021-12-13 00:30:03.942689","13795728","49","49","51"
"2021-12-13 00:32:04.029460","13795738","55","55","62"
"2021-12-13 00:34:03.602779","13795751","43","43","45"
"2021-12-13 00:36:03.905754","13795762","38","39","39"
"2021-12-13 00:38:03.524826","13795773","36","36","37"
"2021-12-13 00:40:04.326121","13795781","42","43","47"
"2021-12-13 00:42:04.128922","13795793","31","31","32"
"2021-12-13 00:44:03.734210","13795806","36","36","37"
"2021-12-13 00:46:04.331871","13795814","37","38","42"
"2021-12-13 00:48:03.984885","13795825","35","35","36"
"2021-12-13 00:50:03.991960","13795834","40","41","42"
"2021-12-13 00:52:04.219887","13795839","41","41","43"
"2021-12-13 00:54:03.794175","13795844","46","46","48"
"2021-12-13 00:56:04.183137","13795856","42","42","43"
"2021-12-13 00:58:03.772561","13795865","48","48","52"
"2021-12-13 01:00:04.795831","13795868","49","50","50"
"2021-12-13 01:02:03.454568","13795879","46","46","50"
"2021-12-13 01:04:05.131645","13795884","53","53","56"
"2021-12-13 01:06:03.472805","13795892","50","50","50"
"2021-12-13 01:08:04.066563","13795898","50","50","51"
"2021-12-13 01:10:03.935354","13795908","52","52","55"
"2021-12-13 01:12:03.786992","13795920","45","45","48"
"2021-12-13 01:14:04.406369","13795932","38","39","39"
"2021-12-13 01:16:03.788335","13795946","32","33","36"
"2021-12-13 01:18:04.262032","13795955","40","41","46"
"2021-12-13 01:20:04.005218","13795964","35","36","36"
"2021-12-13 01:22:03.817777","13795970","43","44","46"
"2021-12-13 01:24:03.412111","13795978","42","43","43"
"2021-12-13 01:26:03.731408","13795988","41","42","43"
"2021-12-13 01:28:04.338020","13795995","42","43","43"
"2021-12-13 01:30:04.145800","13796006","37","38","40"
"2021-12-13 01:32:03.822414","13796015","39","39","39"
"2021-12-13 01:34:03.456383","13796024","39","39","39"
"2021-12-13 01:36:03.983000","13796030","42","42","58"
"2021-12-13 01:38:03.652894","13796041","37","38","38"
"2021-12-13 01:40:04.416501","13796050","38","38","42"
"2021-12-13 01:42:04.195426","13796057","44","45","45"
"2021-12-13 01:44:03.763281","13796069","39","39","39"
"2021-12-13 01:46:04.084292","13796079","35","36","39"
"2021-12-13 01:48:03.640965","13796087","40","40","41"
"2021-12-13 01:50:04.509833","13796095","38","39","39"
"2021-12-13 01:52:04.164470","13796107","38","39","41"
"2021-12-13 01:54:03.740788","13796117","36","36","39"
"2021-12-13 01:56:04.411120","13796128","35","36","36"
"2021-12-13 01:58:04.052490","13796136","45","45","48"
