date,block,slow,medium,fast
"2022-02-21 00:00:04.413688","14248198","67","67","67"
"2022-02-21 00:02:04.494961","14248210","56","56","56"
"2022-02-21 00:04:04.158011","14248220","53","54","54"
"2022-02-21 00:06:03.748917","14248225","77","77","78"
"2022-02-21 00:08:04.416585","14248234","57","57","58"
"2022-02-21 00:10:04.231531","14248242","56","56","56"
"2022-02-21 00:12:04.266771","14248250","58","58","58"
"2022-02-21 00:14:03.903114","14248260","47","47","48"
"2022-02-21 00:16:10.966434","14248268","55","56","56"
"2022-02-21 00:18:03.769036","14248275","61","61","63"
"2022-02-21 00:20:04.559468","14248286","50","50","50"
"2022-02-21 00:22:03.433918","14248291","66","67","68"
"2022-02-21 00:24:04.054101","14248301","51","51","51"
"2022-02-21 00:26:03.913537","14248311","56","56","58"
"2022-02-21 00:28:03.571606","14248321","45","45","45"
"2022-02-21 00:30:04.300176","14248330","52","52","52"
"2022-02-21 00:32:04.282514","14248339","46","47","47"
"2022-02-21 00:34:03.944579","14248351","39","39","39"
"2022-02-21 00:36:04.469824","14248358","50","51","52"
"2022-02-21 00:38:04.248992","14248366","45","45","45"
"2022-02-21 00:40:04.105099","14248374","49","50","50"
"2022-02-21 00:42:04.023690","14248389","39","39","40"
"2022-02-21 00:44:03.648637","14248397","45","45","47"
"2022-02-21 00:46:04.328945","14248406","54","54","56"
"2022-02-21 00:48:03.916376","14248413","50","50","50"
"2022-02-21 00:50:03.653364","14248421","60","60","61"
"2022-02-21 00:52:03.613095","14248434","51","51","52"
"2022-02-21 00:54:04.215008","14248445","39","40","40"
"2022-02-21 00:56:03.687044","14248452","44","44","45"
"2022-02-21 00:58:04.366239","14248457","60","61","62"
"2022-02-21 01:00:04.156877","14248459","74","75","76"
"2022-02-21 01:02:05.114050","14248468","64","64","65"
"2022-02-21 01:04:03.707896","14248480","46","47","47"
"2022-02-21 01:06:04.132217","14248488","45","46","46"
"2022-02-21 01:08:03.744583","14248494","57","58","59"
"2022-02-21 01:10:04.588055","14248500","57","58","58"
"2022-02-21 01:12:03.436753","14248514","43","44","44"
"2022-02-21 01:14:04.129887","14248532","32","32","33"
"2022-02-21 01:16:03.638207","14248547","38","38","39"
"2022-02-21 01:18:04.443065","14248555","44","44","45"
"2022-02-21 01:20:04.273429","14248561","49","50","51"
"2022-02-21 01:22:04.186746","14248570","43","43","43"
"2022-02-21 01:24:03.831492","14248572","40","41","41"
"2022-02-21 01:26:04.290305","14248578","50","51","52"
"2022-02-21 01:28:03.901087","14248591","41","41","41"
"2022-02-21 01:30:03.712848","14248602","34","35","37"
"2022-02-21 01:32:03.603226","14248611","38","39","41"
"2022-02-21 01:34:04.195915","14248617","46","47","48"
"2022-02-21 01:36:03.610862","14248624","47","48","49"
"2022-02-21 01:38:04.280032","14248632","50","51","52"
"2022-02-21 01:40:04.102827","14248644","40","41","41"
"2022-02-21 01:42:04.220351","14248656","33","33","34"
"2022-02-21 01:44:03.925736","14248666","37","37","38"
"2022-02-21 01:46:03.407410","14248672","30","30","31"
"2022-02-21 01:48:04.003583","14248681","37","37","37"
"2022-02-21 01:50:03.739247","14248688","48","49","49"
"2022-02-21 01:52:03.928869","14248694","58","59","60"
"2022-02-21 01:54:03.517882","14248705","44","44","45"
"2022-02-21 01:56:03.984781","14248718","37","37","37"
"2022-02-21 01:58:03.560881","14248723","55","55","57"
"2022-02-21 02:00:04.306163","14248729","64","65","66"
"2022-02-21 02:02:03.673106","14248748","30","31","32"
"2022-02-21 02:04:04.327222","14248755","42","42","43"
"2022-02-21 02:06:03.900214","14248766","41","41","42"
"2022-02-21 02:08:03.525698","14248777","36","37","38"
"2022-02-21 02:10:04.345438","14248790","38","39","39"
"2022-02-21 02:12:03.448667","14248799","35","36","36"
"2022-02-21 02:14:04.040818","14248808","40","41","42"
"2022-02-21 02:16:03.678005","14248817","38","38","38"
"2022-02-21 02:18:03.487741","14248825","50","50","51"
"2022-02-21 02:20:04.279955","14248830","50","51","52"
"2022-02-21 02:22:04.329095","14248838","51","51","53"
"2022-02-21 02:24:03.984443","14248850","33","33","33"
"2022-02-21 02:26:03.621857","14248859","40","41","41"
"2022-02-21 02:28:04.246809","14248864","58","59","60"
"2022-02-21 02:30:07.024236","14248881","34","34","35"
"2022-02-21 02:32:03.626975","14248886","40","40","42"
"2022-02-21 02:34:04.235863","14248903","30","30","32"
