date,block,slow,medium,fast"2022-03-02 07:52:04.023309","14308523","91","92","93"
"2022-03-02 07:52:14.501278","14308523","91","92","93"
"2022-03-02 07:54:03.832817","14308530","89","89","90"
"2022-03-02 07:56:05.128960","14308536","85","85","87"
"2022-03-02 07:58:04.121878","14308544","79","80","80"
"2022-03-02 08:00:07.595671","14308550","100","100","102"
"2022-03-02 08:02:03.898801","14308557","142","143","143"
"2022-03-02 08:04:03.922114","14308563","124","124","125"
"2022-03-02 08:06:04.035743","14308571","119","119","120"
"2022-03-02 08:08:03.940443","14308579","101","102","102"
"2022-03-02 08:10:04.658969","14308585","131","131","132"
"2022-03-02 08:12:04.370517","14308600","86","87","90"
"2022-03-02 08:14:04.197489","14308610","88","89","89"
"2022-03-02 08:16:04.137869","14308621","87","89","89"
"2022-03-02 08:18:04.275738","14308632","78","79","79"
"2022-03-02 08:20:04.206120","14308638","90","91","92"
"2022-03-02 08:22:04.787655","14308646","89","90","92"
"2022-03-02 08:24:04.020924","14308664","56","56","57"
"2022-03-02 08:26:04.579960","14308670","68","69","70"
"2022-03-02 08:28:04.338848","14308682","53","53","53"
"2022-03-02 08:30:04.304287","14308687","71","72","73"
"2022-03-02 08:32:04.378344","14308693","81","82","84"
"2022-03-02 08:34:04.100968","14308702","73","74","74"
"2022-03-02 08:36:04.683750","14308706","104","104","106"
"2022-03-02 08:38:04.404440","14308712","119","120","121"
"2022-03-02 08:40:04.429271","14308719","113","113","114"
"2022-03-02 08:42:03.523881","14308727","95","95","96"
"2022-03-02 08:44:04.313757","14308734","101","101","103"
"2022-03-02 08:46:04.364322","14308744","68","68","69"
"2022-03-02 08:48:04.505013","14308756","62","63","64"
"2022-03-02 08:50:04.500471","14308768","55","56","56"
"2022-03-02 08:52:03.815150","14308775","67","68","68"
"2022-03-02 08:54:03.650147","14308783","68","69","69"
"2022-03-02 08:56:04.438266","14308793","57","58","58"
"2022-03-02 08:58:04.191910","14308802","55","55","56"
"2022-03-02 09:00:04.947082","14308813","57","57","57"
"2022-03-02 09:02:03.738775","14308823","74","74","76"
"2022-03-02 09:04:04.505230","14308838","95","96","97"
"2022-03-02 09:06:04.309780","14308847","118","118","119"
"2022-03-02 09:08:04.064797","14308855","125","126","126"
"2022-03-02 09:10:04.533730","14308868","104","105","107"
"2022-03-02 09:12:04.283359","14308879","82","84","84"
"2022-03-02 09:14:04.072040","14308890","84","84","84"
"2022-03-02 09:16:03.940004","14308898","103","103","104"
"2022-03-02 09:18:04.213515","14308905","150","150","151"
"2022-03-02 09:20:04.338439","14308915","109","109","109"
"2022-03-02 09:22:04.955168","14308927","74","75","75"
"2022-03-02 09:24:03.756221","14308942","74","75","77"
"2022-03-02 09:26:04.429091","14308948","102","103","104"
"2022-03-02 09:28:04.214538","14308954","96","96","96"
"2022-03-02 09:30:04.750647","14308968","87","87","88"
"2022-03-02 09:32:04.569149","14308977","85","86","86"
"2022-03-02 09:34:04.409481","14308982","116","117","118"
"2022-03-02 09:36:04.464339","14308990","108","109","109"
"2022-03-02 09:38:04.297376","14309001","78","79","79"
"2022-03-02 09:40:04.263354","14309016","69","69","70"
"2022-03-02 09:42:05.292941","14309025","74","74","74"
"2022-03-02 09:44:04.115939","14309034","78","78","80"
