Date,Block,Slow,Medium,Fast
"2021-09-20 00:00:03.624395","13261134","35","36","43"
"2021-09-20 00:02:03.633496","13261142","49","50","53"
"2021-09-20 00:04:04.247192","13261155","39","40","48"
"2021-09-20 00:06:03.963434","13261165","43","43","56"
"2021-09-20 00:08:03.753109","13261171","49","49","49"
"2021-09-20 00:10:04.629114","13261178","43","43","45"
"2021-09-20 00:12:04.389284","13261186","49","50","56"
"2021-09-20 00:14:04.352204","13261196","44","45","50"
"2021-09-20 00:16:03.911279","13261204","43","44","45"
"2021-09-20 00:18:04.222100","13261213","44","45","60"
"2021-09-20 00:20:04.157314","13261223","39","40","40"
"2021-09-20 00:22:04.046287","13261232","38","38","38"
"2021-09-20 00:24:03.748815","13261242","36","37","50"
"2021-09-20 00:26:04.268177","13261255","38","38","50"
"2021-09-20 00:28:03.972696","13261260","55","56","69"
"2021-09-20 00:30:03.817206","13261270","45","48","55"
"2021-09-20 00:32:03.816195","13261276","57","57","65"
"2021-09-20 00:34:04.443655","13261288","50","50","51"
"2021-09-20 00:36:04.047192","13261291","69","70","93"
"2021-09-20 00:38:03.769271","13261306","60","60","61"
"2021-09-20 00:40:05.600116","13261318","55","56","56"
"2021-09-20 00:42:04.295535","13261326","60","60","75"
"2021-09-20 00:44:04.000435","13261331","69","70","82"
"2021-09-20 00:46:03.862371","13261340","59","60","60"
"2021-09-20 00:48:03.508810","13261349","73","73","78"
"2021-09-20 00:50:04.455801","13261360","64","65","73"
"2021-09-20 00:52:04.371371","13261370","55","56","56"
"2021-09-20 00:54:04.064590","13261375","70","71","86"
"2021-09-20 00:56:07.765985","13261380","76","76","80"
"2021-09-20 00:58:04.407529","13261392","58","58","58"
"2021-09-20 01:00:04.275213","13261404","57","58","58"
"2021-09-20 01:02:03.630695","13261414","52","53","62"
"2021-09-20 01:04:04.860571","13261422","64","65","65"
"2021-09-20 01:06:04.472010","13261434","57","57","73"
"2021-09-20 01:08:04.193471","13261443","65","65","67"
"2021-09-20 01:10:04.094559","13261445","82","82","84"
"2021-09-20 01:12:04.127229","13261451","95","95","97"
"2021-09-20 01:14:04.874440","13261458","81","82","82"
"2021-09-20 01:16:03.718465","13261463","84","85","87"
"2021-09-20 01:18:03.738679","13261475","70","71","71"
"2021-09-20 01:20:04.466187","13261489","59","59","60"
"2021-09-20 01:22:04.386603","13261497","59","59","60"
"2021-09-20 01:24:04.180693","13261506","67","67","68"
"2021-09-20 01:26:04.000572","13261515","65","65","66"
"2021-09-20 01:28:03.730560","13261524","62","63","63"
"2021-09-20 01:30:04.584872","13261533","58","59","59"
"2021-09-20 01:32:04.349154","13261542","61","62","67"
"2021-09-20 01:34:04.058726","13261551","57","57","58"
"2021-09-20 01:36:03.630128","13261564","45","46","46"
"2021-09-20 01:38:04.283674","13261567","62","63","64"
"2021-09-20 01:40:04.135605","13261572","66","66","74"
"2021-09-20 01:42:04.005906","13261583","59","60","60"
