date,block,slow,medium,fast
"2021-09-27 00:00:11.021541","13306370","87","87","89"
"2021-09-27 00:02:03.989369","13306385","56","56","56"
"2021-09-27 00:04:03.701396","13306397","60","60","63"
"2021-09-27 00:06:04.318565","13306408","52","53","53"
"2021-09-27 00:08:04.392667","13306414","65","66","67"
"2021-09-27 00:10:04.249449","13306421","65","65","65"
"2021-09-27 00:12:04.222516","13306428","67","68","75"
"2021-09-27 00:14:03.864532","13306439","54","55","55"
"2021-09-27 00:16:03.663417","13306447","57","58","58"
"2021-09-27 00:18:03.573502","13306456","56","56","57"
"2021-09-27 00:20:04.413506","13306468","42","42","43"
"2021-09-27 00:22:04.409564","13306477","48","48","48"
"2021-09-27 00:24:04.115753","13306485","55","55","57"
"2021-09-27 00:26:03.605188","13306490","62","63","64"
"2021-09-27 00:28:04.229641","13306497","69","70","75"
"2021-09-27 00:30:04.062868","13306507","56","57","57"
"2021-09-27 00:32:04.062851","13306517","42","42","42"
"2021-09-27 00:34:03.652796","13306528","47","48","51"
"2021-09-27 00:36:04.194899","13306536","63","63","63"
"2021-09-27 00:38:03.875235","13306543","53","53","53"
"2021-09-27 00:40:03.693370","13306553","62","62","63"
"2021-09-27 00:42:03.712306","13306567","52","53","53"
"2021-09-27 00:44:04.338285","13306570","64","65","66"
"2021-09-27 00:46:03.650272","13306583","63","64","71"
"2021-09-27 00:48:04.268797","13306588","73","74","74"
"2021-09-27 00:50:04.323268","13306597","67","67","67"
"2021-09-27 00:52:04.296853","13306602","77","77","78"
"2021-09-27 00:54:03.998076","13306609","83","84","84"
"2021-09-27 00:56:03.534327","13306621","55","55","55"
"2021-09-27 00:58:04.390351","13306628","51","51","52"
"2021-09-27 01:00:04.161260","13306634","61","62","63"
"2021-09-27 01:02:04.871584","13306642","62","63","63"
"2021-09-27 01:04:03.905267","13306651","61","61","62"
"2021-09-27 01:06:03.916071","13306656","78","79","80"
"2021-09-27 01:08:03.694471","13306664","70","71","71"
"2021-09-27 01:10:06.053037","13306671","60","60","68"
"2021-09-27 01:12:04.046036","13306679","69","69","79"
"2021-09-27 01:14:03.664983","13306688","65","65","68"
"2021-09-27 01:16:03.485126","13306691","85","85","88"
"2021-09-27 01:18:03.711388","13306701","60","60","61"
"2021-09-27 01:20:04.527148","13306709","58","59","59"
"2021-09-27 01:22:04.345428","13306716","56","56","56"
"2021-09-27 01:24:03.941672","13306721","76","76","78"
"2021-09-27 01:26:04.466590","13306731","62","62","62"
"2021-09-27 01:28:04.177344","13306740","57","57","67"
"2021-09-27 01:30:03.992937","13306746","59","59","70"
"2021-09-27 01:32:03.702449","13306749","81","81","82"
"2021-09-27 01:34:04.323246","13306756","61","61","61"
"2021-09-27 01:36:04.153445","13306770","53","53","53"
"2021-09-27 01:38:03.845405","13306778","64","64","69"
"2021-09-27 01:40:03.676947","13306790","55","55","57"
"2021-09-27 01:42:03.582726","13306800","57","58","59"
"2021-09-27 01:44:04.222978","13306808","57","58","58"
"2021-09-27 01:46:04.770329","13306813","69","70","70"
"2021-09-27 01:48:04.541958","13306822","61","61","61"
"2021-09-27 01:50:04.374111","13306834","49","50","51"
"2021-09-27 01:52:04.358471","13306842","53","54","59"
"2021-09-27 01:54:04.058714","13306850","56","57","67"
"2021-09-27 01:56:03.574728","13306852","71","71","86"
"2021-09-27 01:58:04.213267","13306859","70","70","70"
"2021-09-27 02:00:04.059368","13306868","58","59","59"
"2021-09-27 02:02:03.712985","13306879","61","62","66"
"2021-09-27 02:04:04.435103","13306894","48","49","49"
"2021-09-27 02:06:04.020268","13306902","57","57","71"
"2021-09-27 02:08:03.626637","13306909","49","50","51"
"2021-09-27 02:10:04.455323","13306914","48","48","49"
"2021-09-27 02:12:03.687576","13306917","69","69","70"
"2021-09-27 02:14:04.367303","13306928","59","59","60"
"2021-09-27 02:16:03.991138","13306942","50","50","51"
"2021-09-27 02:18:04.188684","13306955","52","52","54"
"2021-09-27 02:20:04.034646","13306966","52","53","58"
"2021-09-27 02:22:04.014791","13306978","43","44","44"
"2021-09-27 02:24:03.634564","13306983","53","53","71"
"2021-09-27 02:26:03.850105","13306990","53","53","53"
"2021-09-27 02:28:03.845913","13307005","42","43","43"
"2021-09-27 02:30:03.667060","13307011","52","52","64"
"2021-09-27 02:32:03.874428","13307017","47","48","57"
"2021-09-27 02:34:03.585359","13307025","54","55","79"
"2021-09-27 02:36:04.106792","13307035","53","53","53"
"2021-09-27 02:38:03.697598","13307043","56","57","57"
"2021-09-27 02:40:04.565720","13307051","59","59","59"
"2021-09-27 02:42:04.457807","13307055","75","75","75"
"2021-09-27 02:44:04.046747","13307067","51","51","51"
"2021-09-27 02:46:03.461162","13307072","62","62","63"
"2021-09-27 02:48:04.084594","13307081","50","50","51"
"2021-09-27 02:50:03.907161","13307091","53","54","54"
"2021-09-27 02:52:03.895749","13307098","55","55","64"
"2021-09-27 02:54:03.505602","13307102","56","57","57"
"2021-09-27 02:56:04.338621","13307109","60","60","60"
"2021-09-27 02:58:04.049655","13307115","71","72","75"
"2021-09-27 03:00:03.773112","13307120","73","74","74"
"2021-09-27 03:02:03.988495","13307132","50","51","51"
"2021-09-27 03:04:03.680639","13307143","56","56","57"
"2021-09-27 03:06:04.200884","13307150","56","57","62"
"2021-09-27 03:08:03.802950","13307156","68","69","70"
"2021-09-27 03:10:03.729999","13307160","69","70","79"
"2021-09-27 03:12:03.414242","13307169","58","60","60"
"2021-09-27 03:14:04.153720","13307181","49","50","50"
"2021-09-27 03:16:03.690455","13307189","44","45","45"
"2021-09-27 03:18:04.988190","13307202","41","41","41"
"2021-09-27 03:20:03.804318","13307211","46","47","52"
"2021-09-27 03:22:04.031421","13307225","40","41","50"
"2021-09-27 03:24:03.645023","13307233","46","46","46"
"2021-09-27 03:26:04.162540","13307236","60","60","60"
"2021-09-27 03:28:03.769235","13307245","54","54","60"
"2021-09-27 03:30:04.707846","13307254","51","51","52"
"2021-09-27 03:32:04.112883","13307267","47","48","62"
"2021-09-27 03:34:03.718125","13307278","39","40","40"
"2021-09-27 03:36:04.244140","13307284","53","54","59"
"2021-09-27 03:38:03.945879","13307292","50","51","51"
"2021-09-27 03:40:03.930916","13307303","39","41","41"
"2021-09-27 03:42:03.968919","13307311","51","53","58"
"2021-09-27 03:44:03.772407","13307323","43","44","44"
"2021-09-27 03:46:04.222766","13307330","43","45","45"
"2021-09-27 03:48:03.842473","13307338","52","54","61"
"2021-09-27 03:50:03.579552","13307347","37","37","37"
"2021-09-27 03:52:03.688855","13307352","53","54","55"
"2021-09-27 03:54:04.299466","13307357","56","57","58"
"2021-09-27 03:58:03.907136","13307378","49","50","60"
"2021-09-27 04:00:03.624202","13307388","51","52","58"
"2021-09-27 04:02:04.085302","13307394","54","55","57"
"2021-09-27 04:04:03.744230","13307405","53","54","75"
